Project Rank,Holder Rank,Address,Reward (sFTMx),Reward ($)
Winner 1,1,0x30b171cc3fda751707bcff7b8d300faf10a531dc,38796.99766,25047.34169
Winner 1,2,0x5daf884b73f6ab637d72bf09475a8455121614e6,28683.61779,18518.14365
Winner 1,3,0x76c0c3d5127da9333e14ac31669989e322076713,19382.05526,12513.05488
Winner 1,4,0x672fd76b1d6c6287c3dbca06506552ab4f113c43,18742.47767,12100.14358
Winner 1,5,0xf3fcaf61f908fb1565401128f7f8b16afa2e0d67,17459.48638,11271.84441
Winner 1,6,0x4bd13db31148b5aebb2433548d7e4bff996ace6e,17357.05335,11205.71364
Winner 1,7,0x8485c883024d0e61d8b90eec2d5b76d538361388,13306.72618,8590.822422
Winner 1,8,0xa50c39df4dc590e2efb93b92de65b8abbe330349,13249.45295,8553.846825
Winner 1,9,0xa85a310a4d015cf2c17dee2aab732be70ef09114,12709.13948,8205.020448
Winner 1,10,0xbe709b283ed397f8de2211e07dc3f81e1d436cf6,11982.90294,7736.162138
Winner 1,11,0x18907a779cfcf032be79e9f638319a10861fa41b,11647.63941,7519.716003
Winner 1,12,0x6d1c44dfebaa3903353a6ae098385f638a8ed740,11619.78341,7501.732169
Winner 1,13,0x47c8260e5279495a9307ac7481eaa9ff977a02e0,9277.664294,5989.660068
Winner 1,14,0xeb07070b5b87a07278ca99f132fa5e304fc2e074,8789.229619,5674.326642
Winner 1,15,0x9324829ccd07b08c8d27096308f37d7cc6ea6edf,8439.929469,5448.818465
Winner 1,16,0xfff1996ca66c51a279e3464775de6ba11745b168,8351.720231,5391.870581
Winner 1,17,0xf409bdec39ce3dc457f0a19abbd517e6bb359027,8325.857024,5375.173295
Winner 1,18,0xe600e90b0c4b46d40face45c49811c7cbe9b4b61,8074.329118,5212.786879
Winner 1,19,0x199745e7b4efead0b2f027e3c3c88b1c77b3b780,7513.739821,4850.870428
Winner 1,20,0x5f0874d5e6aa0f6d7f51accf9c52e0827143f0d6,7048.399107,4550.446463
Winner 1,21,0xa258374017754119ae102bab4752058cddb40933,6142.174391,3965.387787
